# RAMSETE v1
# time_s, x_in, y_in, theta_rad, v_ips, omega_radps
0.000, 0.133, -46.946, 1.571, 0.000, 0.000
0.020, 0.133, -47.165, 1.571, -10.954, 0.000
0.040, 0.133, -47.384, 1.571, -10.954, 0.000
0.060, 0.133, -47.603, 1.571, -10.954, 0.000
0.080, 0.133, -47.822, 1.571, -10.954, 0.000
0.100, 0.133, -48.042, 1.571, -10.954, 0.000
0.120, 0.133, -48.261, 1.571, -10.954, 0.000
0.140, 0.133, -48.480, 1.571, -10.954, 0.000
0.160, 0.133, -48.699, 1.571, -10.954, 0.000
0.180, 0.133, -48.918, 1.571, -10.954, 0.000
0.200, 0.133, -49.401, 1.571, -24.172, 0.000
0.220, 0.133, -49.924, 1.571, -26.124, 0.000
0.240, 0.133, -50.446, 1.571, -26.124, 0.000
0.260, 0.133, -50.972, 1.571, -26.264, 0.000
0.280, 0.133, -51.558, 1.571, -29.332, 0.000
0.300, 0.133, -52.145, 1.571, -29.332, 0.000
0.320, 0.133, -52.732, 1.571, -29.332, 0.000
0.340, 0.133, -53.292, 1.571, -28.005, 0.000
0.360, 0.133, -53.836, 1.571, -27.240, 0.000
0.380, 0.133, -54.381, 1.571, -27.240, 0.000
0.400, 0.133, -54.926, 1.571, -27.240, 0.000
0.420, 0.133, -55.427, 1.571, -25.055, 0.000
0.440, 0.133, -55.927, 1.571, -24.972, 0.000
0.460, 0.133, -56.426, 1.571, -24.972, 0.000
0.480, 0.133, -56.925, 1.571, -24.972, 0.000
0.500, 0.133, -57.377, 1.571, -22.577, 0.000
0.520, 0.133, -57.826, 1.571, -22.473, 0.000
0.540, 0.133, -58.276, 1.571, -22.473, 0.000
0.560, 0.133, -58.725, 1.571, -22.473, 0.000
0.580, 0.133, -59.146, 1.571, -21.039, 0.000
0.600, 0.133, -59.539, 1.571, -19.655, 0.000
0.620, 0.133, -59.932, 1.571, -19.655, 0.000
0.640, 0.133, -60.325, 1.571, -19.655, 0.000
0.660, 0.133, -60.719, 1.571, -19.655, 0.000
0.680, 0.133, -61.084, 1.571, -18.261, 0.000
0.700, 0.133, -61.411, 1.571, -16.343, 0.000
0.720, 0.133, -61.737, 1.571, -16.343, 0.000
0.740, 0.133, -62.064, 1.571, -16.343, 0.000
0.760, 0.133, -62.391, 1.571, -16.343, 0.000
0.780, 0.133, -62.718, 1.571, -16.343, 0.000
0.800, 0.133, -63.019, 1.571, -15.058, 0.000
0.820, 0.133, -63.261, 1.571, -12.091, 0.000
0.840, 0.133, -63.503, 1.571, -12.091, 0.000
0.860, 0.133, -63.745, 1.571, -12.091, 0.000
0.880, 0.133, -63.987, 1.571, -12.091, 0.000
0.900, 0.133, -64.228, 1.571, -12.091, 0.000
0.920, 0.133, -64.470, 1.571, -12.091, 0.000
0.940, 0.133, -64.712, 1.571, -12.091, 0.000
0.960, 0.133, -64.949, 1.571, -11.859, 0.000
0.980, 0.133, -65.046, 1.571, -4.824, 0.000
1.000, 0.133, -65.142, 1.571, -4.824, 0.000
1.020, 0.133, -65.239, 1.571, -4.824, 0.000
1.040, 0.133, -65.335, 1.571, -4.824, 0.000
1.060, 0.133, -65.432, 1.571, -4.824, 0.000
1.080, 0.133, -65.528, 1.571, -4.824, 0.000
1.100, 0.133, -65.625, 1.571, -4.824, 0.000
1.120, 0.133, -65.721, 1.571, -4.824, 0.000
1.140, 0.133, -65.817, 1.571, -4.824, 0.000
1.160, 0.133, -65.914, 1.571, -4.824, 0.000
1.180, 0.133, -66.010, 1.571, -4.824, 0.000
1.200, 0.133, -66.026, 1.571, -0.794, 0.000
1.220, 0.133, -66.026, 1.571, 0.000, 0.000
endData
